Series_reference,Period,Data_value,STATUS_status,UNITS_units,Subject_subject,Group_grp,Series_title_1,UniqueNumber
CPIQ.SE901,1965.06,52.72468769,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,205
CPIQ.SE901,1965.09,53.54986778,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,206
CPIQ.SE901,1965.12,54.07103419,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,207
CPIQ.SE901,1966.03,54.3993693,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,208
CPIQ.SE901,1966.06,54.34603647,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,209
CPIQ.SE901,1966.09,54.29270441,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,210
CPIQ.SE901,1966.12,54.13270593,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,211
CPIQ.SE901,1967.03,57.11933815,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,212
CPIQ.SE901,1967.06,58.55932143,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,213
CPIQ.SE901,1967.09,58.93265046,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,214
CPIQ.SE901,1967.12,58.29265729,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,215
CPIQ.SE901,1968.03,58.8259848,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,216
CPIQ.SE901,1968.06,59.7859734,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,217
CPIQ.SE901,1968.09,60.42596657,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,218
CPIQ.SE901,1968.12,61.11929179,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,219
CPIQ.SE901,1969.03,62.29261094,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,220
CPIQ.SE901,1969.06,62.87927128,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,221
CPIQ.SE901,1969.09,63.46593085,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,222
CPIQ.SE901,1969.12,63.19926748,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,223
CPIQ.SE901,1970.03,64.85258131,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,224
CPIQ.SE901,1970.06,66.61256155,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,225
CPIQ.SE901,1970.09,67.1458883,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,226
CPIQ.SE901,1970.12,69.70585866,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,227
CPIQ.SE901,1971.03,71.8925,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,228
CPIQ.SE901,1971.06,72.37249468,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,229
CPIQ.SE901,1971.09,73.43914894,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,230
CPIQ.SE901,1971.12,75.09246277,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,231
CPIQ.SE901,1972.03,76.10578419,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,232
CPIQ.SE901,1972.06,76.53244605,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,233
CPIQ.SE901,1972.09,76.69244453,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,234
CPIQ.SE901,1972.12,77.43910258,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,235
CPIQ.SE901,1973.03,80.63906535,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,236
CPIQ.SE901,1973.06,84.10569149,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,237
CPIQ.SE901,1973.09,86.61232979,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,238
CPIQ.SE901,1973.12,89.86562538,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,239
CPIQ.SE901,1974.03,92.26559726,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,240
CPIQ.SE901,1974.06,93.75891337,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,241
CPIQ.SE901,1974.09,96.58554711,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,242
CPIQ.SE901,1974.12,97.97219757,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,243
CPIQ.SE901,1975.03,98.65800304,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,244
